year;country;geo;category_key;category_label;product;prod_code;price_eur_tonne;avg_temp_c
2000;Germany;DE;arable;Arable (cereals/oilseeds);Rape - prices per 100 kg;2110000;178,6;10,020416666666666
2000;Germany;DE;arable;Arable (cereals/oilseeds);Rye - prices per 100 kg;1200000;111,0;10,020416666666666
2000;Germany;DE;arable;Arable (cereals/oilseeds);Soft wheat - prices per 100 kg;1110000;118,1;10,020416666666666
2000;Germany;DE;orchards;Orchards/Vineyards (perennial);Dessert apples: all varieties - prices per 100 kg;6110000;328,40000000000003;10,020416666666666
2000;Germany;DE;orchards;Orchards/Vineyards (perennial);Dessert pears: all varieties - prices per 100 kg;6120000;356,8;10,020416666666666
2000;Germany;DE;orchards;Orchards/Vineyards (perennial);Plums: all varieties  - prices per 100 kg;6192000;563,5;10,020416666666666
2000;Germany;DE;orchards;Orchards/Vineyards (perennial);Strawberries in the open - prices per 100 kg;6193100;1494,5;10,020416666666666
2000;Germany;DE;rowCrops;Row crops;Early potatoes - prices per 100 kg;5110000;132,5;10,020416666666666
2000;Germany;DE;rowCrops;Row crops;Main crop potatoes - prices per 100 kg;5120000;61,4;10,020416666666666
2000;Germany;DE;vegetables;Vegetables (fresh market/transplant);Asparagus: all qualities - prices per 100 kg;4199910;3249,6;10,020416666666666
2000;Germany;DE;vegetables;Vegetables (fresh market/transplant);Carrots: all qualities - prices per 100 kg;4195000;190,3;10,020416666666666
2000;Germany;DE;vegetables;Vegetables (fresh market/transplant);Cauliflowers: all qualities - prices per 100 kg;4110000;335,6;10,020416666666666
2000;Germany;DE;vegetables;Vegetables (fresh market/transplant);Cucumbers in the open: all qualities - prices per 100 kg;4194100;236,5;10,020416666666666
